Paramètres de la simulation
Taille du terrain,1 km
Nombre de cellules par direction,300
Vecteur vitesse du vent,0,0
Position initiale du foyer,10,10
Nombre de threads utilisés,1

TimeStep,Time_Avancement,T_Affichage,T_total
1,0.000170853,0.0106842,0.0108552
2,0.000149829,0.00362646,0.00377646
3,0.00010239,0.00347699,0.00357954
4,9.724e-05,0.00265377,0.00275123
5,0.000120371,0.00321696,0.00333749
6,0.000104542,0.00225637,0.00236111
7,9.9837e-05,0.0022724,0.00237239
8,0.000122664,0.00288228,0.00300515
9,0.000106647,0.00230487,0.00241166
10,0.000103743,0.00235789,0.00246181
11,0.000111891,0.00354526,0.00365731
12,0.000132872,0.00483046,0.00496349
13,0.000176406,0.00394931,0.00412593
14,0.000201903,0.00372034,0.00392281
15,0.000184819,0.00419686,0.00438205
16,0.000201007,0.00490104,0.00510222
17,0.00020187,0.00341553,0.0036176
18,0.000193646,0.00395602,0.00414984
19,0.000221638,0.00367629,0.00389811
20,0.000215379,0.0034274,0.00364295
21,0.000240416,0.00381395,0.00405455
22,0.000240956,0.00450543,0.004747
23,0.000178329,0.00248612,0.00266461
24,0.000184552,0.00456681,0.00475165
25,0.000224106,0.00251865,0.0027429
26,0.000217664,0.00304436,0.00326222
27,0.000194038,0.00259534,0.00278977
28,0.000245065,0.00356306,0.00380834
29,0.000248168,0.00309163,0.00334007
30,0.000207718,0.0034627,0.0036706
31,0.000248226,0.00255931,0.0028077
32,0.000247183,0.00275629,0.00300452
33,0.000265386,0.00403752,0.00430313
34,0.000365545,0.00345971,0.00382541
35,0.000291374,0.00409946,0.00439099
36,0.00031675,0.00323352,0.00355043
37,0.000293453,0.00427616,0.00457002
38,0.000437431,0.00256231,0.0029999
39,0.000266829,0.00320425,0.00347122
40,0.000274831,0.00242334,0.00269831
41,0.000277824,0.00301854,0.00329654
42,0.000294257,0.00391358,0.00420797
43,0.00031525,0.0025094,0.00282479
44,0.00034888,0.00279184,0.00314086
45,0.000314022,0.00252882,0.002843
46,0.000302617,0.00257198,0.00287475
47,0.00037658,0.00335599,0.00373282
48,0.000339256,0.00259493,0.0029345
49,0.00035033,0.00336598,0.00371654
50,0.000341525,0.00255735,0.00289902
51,0.00034835,0.00301837,0.00336687
52,0.000372147,0.00296607,0.00333839
53,0.000359205,0.00258033,0.00293977
54,0.000384274,0.00374437,0.00412892
55,0.000465052,0.00261805,0.00308326
56,0.000436752,0.00336505,0.00380211
57,0.000584971,0.00258515,0.00317029
58,0.000457133,0.00309789,0.00355519
59,0.000458968,0.00260416,0.00306336
60,0.000443591,0.00258426,0.00302809
61,0.00049441,0.00392771,0.0044223
62,0.000502058,0.00431176,0.004814
63,0.000542274,0.00289062,0.00343308
64,0.000495496,0.00259639,0.00309204
65,0.000499601,0.00282013,0.00331987
66,0.000516692,0.00275333,0.00327032
67,0.000576049,0.00383287,0.00440914
68,0.000652048,0.0032588,0.00391105
69,0.000566932,0.00445934,0.00502644
70,0.00110286,0.00483932,0.00594246
71,0.00079211,0.00355129,0.00434357
72,0.000594617,0.00361529,0.00421014
73,0.000639946,0.00312866,0.00376878
74,0.000619423,0.00342265,0.00404222
75,0.000620604,0.00292376,0.00354459
76,0.000627866,0.00292733,0.00355537
77,0.000636667,0.00288706,0.0035238
78,0.000676303,0.00307372,0.00375216
79,0.00077706,0.00337242,0.00414965
80,0.000685635,0.00341616,0.00410194
81,0.000713451,0.00339237,0.00410597
82,0.000749971,0.00282823,0.00357892
83,0.000701148,0.00292623,0.00362751
84,0.000709769,0.00285519,0.00356502
85,0.000718936,0.00280134,0.00352035
86,0.00076618,0.00290238,0.00366871
87,0.000771172,0.00297977,0.00375111
88,0.000788735,0.00308754,0.00387642
89,0.000785701,0.0029596,0.00374545
90,0.0008285,0.00320423,0.00403291
91,0.000834072,0.00310373,0.00393847
92,0.00088793,0.00320798,0.00409605
93,0.000826899,0.00305768,0.00388476
94,0.000875947,0.00325423,0.00413035
95,0.000886393,0.00308074,0.00396729
96,0.000862865,0.0031918,0.00405482
97,0.000959511,0.00310752,0.00406723
98,0.000892145,0.00361558,0.00450791
99,0.00101872,0.00484246,0.00586173
100,0.00095375,0.00395811,0.00491209
101,0.000916106,0.00342632,0.00434258
102,0.00102013,0.00328923,0.00430951
103,0.000912298,0.00324711,0.00415959
104,0.000927478,0.00322565,0.00415328
105,0.000923406,0.00321697,0.00414061
106,0.000970929,0.00334316,0.00431425
107,0.000990167,0.00327493,0.00426523
108,0.00100771,0.00329026,0.00429812
109,0.0010494,0.00380053,0.00485008
110,0.00104144,0.00452693,0.00556855
111,0.00101005,0.00350988,0.00452011
112,0.00098823,0.0034037,0.00439271
113,0.00106597,0.00340618,0.00447241
114,0.00103258,0.00343899,0.00447173
115,0.00105014,0.0035198,0.00457019
116,0.00124683,0.00360037,0.00484747
117,0.00107559,0.00347731,0.00455298
118,0.00103921,0.00355567,0.00459503
119,0.00112287,0.00353135,0.00465436
120,0.00109921,0.00363561,0.00473499
121,0.00107357,0.00354918,0.00462294
122,0.00116931,0.00368929,0.00485888
123,0.0011148,0.00360706,0.00472204
124,0.0011332,0.0036068,0.00474019
125,0.00115595,0.00371798,0.00487407
126,0.00121186,0.00365667,0.00486874
127,0.00121725,0.00375017,0.00496759
128,0.00120087,0.00368616,0.00488737
129,0.00123053,0.00378508,0.00501638
130,0.00134005,0.0045278,0.00586811
131,0.00157677,0.00525606,0.00683311
132,0.00137836,0.003964,0.00534265
133,0.00147784,0.00400021,0.00547829
134,0.0013328,0.00387017,0.00520313
135,0.00131353,0.00377215,0.00508592
136,0.0013311,0.00392911,0.00526037
137,0.00133048,0.00395891,0.00528947
138,0.00143187,0.00387818,0.00531019
139,0.00147345,0.00412283,0.00559638
140,0.00144662,0.00403724,0.00548416
141,0.00152796,0.00406422,0.00559234
142,0.00145078,0.00416299,0.00561393
143,0.00149841,0.00410035,0.00559893
144,0.00153485,0.00409375,0.00562877
145,0.00149802,0.00420657,0.00570476
146,0.00154006,0.0043051,0.00584533
147,0.00152567,0.0041767,0.00570253
148,0.00160909,0.00413868,0.00574804
149,0.00156629,0.00419166,0.00575819
150,0.00161609,0.00427764,0.00589381
151,0.00169641,0.00416853,0.0058651
152,0.00160019,0.004351,0.00595144
153,0.00163017,0.00422516,0.00585541
154,0.00173054,0.00420982,0.00594046
155,0.00165498,0.00437374,0.00602879
156,0.00167972,0.0042202,0.0059002
157,0.00168535,0.00430102,0.00598644
158,0.00178092,0.00438713,0.00616832
159,0.0017418,0.00451802,0.00626005
160,0.00177946,0.00449654,0.00627609
161,0.00182235,0.00466201,0.00648452
162,0.00193336,0.0053918,0.00732543
163,0.00200047,0.00603208,0.00803282
164,0.00206652,0.00456077,0.00662758
165,0.001817,0.00457876,0.00639592
166,0.00183425,0.00451945,0.00635386
167,0.00181308,0.00445825,0.00627162
168,0.00190055,0.00457971,0.00648045
169,0.00187125,0.00481246,0.00668387
170,0.00183677,0.00459823,0.00643514
171,0.00186873,0.00472271,0.00659152
172,0.0018696,0.00464383,0.00651356
173,0.00197332,0.0047394,0.00671284
174,0.00193215,0.00479605,0.00672829
175,0.00197566,0.00482231,0.00679812
176,0.0019622,0.00482739,0.00678976
177,0.00199313,0.00488133,0.00687478
178,0.00216767,0.00483309,0.00700086
179,0.00218799,0.00485899,0.00704707
180,0.00210742,0.0049841,0.00709161
181,0.00208694,0.00488884,0.00697603
182,0.00222762,0.00523127,0.00745915
183,0.00220866,0.00494733,0.00715607
184,0.0021639,0.00490326,0.00706729
185,0.00232735,0.0049388,0.00726633
186,0.00228676,0.00495356,0.00724056
187,0.00219331,0.00516448,0.00735796
188,0.00223144,0.00519555,0.00742709
189,0.0022255,0.00518675,0.00741247
190,0.00225376,0.00515133,0.00740527
191,0.00226644,0.00512587,0.00739249
