Paramètres de la simulation
Taille du terrain,1 km
Nombre de cellules par direction,100
Vecteur vitesse du vent,0,0
Position initiale du foyer,10,10
Nombre de threads utilisés,4

TimeStep,Time_Avancement,T_Affichage,T_total
1,1.4586e-05,0.00266539,0.00268019
2,4.536e-06,0.000418564,0.000423272
3,3.853e-06,0.000289615,0.000293532
4,5.567e-06,0.000296831,0.000302473
5,8.01e-06,0.00602959,0.00603812
6,1.2647e-05,0.000526314,0.000539251
7,1.9385e-05,0.00341346,0.00343303
8,2.3513e-05,0.00184328,0.00186703
9,2.8324e-05,0.00048269,0.000511126
10,1.6096e-05,0.000326665,0.000342832
11,2.3815e-05,0.000410142,0.000434027
12,2.3954e-05,0.000313614,0.000337637
13,2.2112e-05,0.000343768,0.000365987
14,4.07e-05,0.000735867,0.000776666
15,4.179e-05,0.000481403,0.000523298
16,4.8647e-05,0.000536996,0.00058574
17,5.6422e-05,0.000502141,0.000558642
18,5.7776e-05,0.00139877,0.0014567
19,5.7069e-05,0.000733657,0.000790951
20,6.7819e-05,0.000608285,0.000676889
21,8.886e-05,0.00132936,0.00141838
22,8.6347e-05,0.000489598,0.000576158
23,9.3262e-05,0.000479234,0.000572615
24,7.1102e-05,0.000395745,0.000466916
25,8.3964e-05,0.000762485,0.000846597
26,7.4271e-05,0.000672175,0.000746599
27,0.000121139,0.00159438,0.00171568
28,0.000101477,0.000435428,0.000536978
29,9.6226e-05,0.000433767,0.00053006
30,0.000103116,0.000411518,0.00051471
31,9.9849e-05,0.000411451,0.00051136
32,0.000121832,0.000491631,0.000613658
33,0.0001375,0.000476575,0.000614152
34,0.000152331,0.000494403,0.000646802
35,0.000151445,0.000435263,0.000586781
36,0.000122316,0.000527181,0.000649562
37,0.000147196,0.00130678,0.00145449
38,0.000237695,0.00105085,0.00128873
39,0.000178265,0.000579022,0.000757476
40,0.000167541,0.000540692,0.000708404
41,0.000178797,0.00054466,0.000723612
42,0.000160554,0.000498891,0.000659536
43,0.000185408,0.000531312,0.000716787
44,0.000153732,0.000544543,0.000698341
45,0.000156547,0.000554524,0.000711138
46,0.000161642,0.000561168,0.000722877
47,0.00016756,0.000582063,0.000749701
48,0.000184955,0.00149228,0.0016774
49,0.000320614,0.00122913,0.00154991
50,0.000250689,0.000588749,0.000839513
51,0.000205897,0.000738868,0.000944832
52,0.000213016,0.000650935,0.000864041
53,0.000212371,0.000638819,0.000851265
54,0.000218489,0.00170879,0.00192769
55,0.000320532,0.00128414,0.00160475
56,0.000262154,0.00068166,0.000943879
57,0.000244984,0.0006586,0.000903657
58,0.000260243,0.000719974,0.000980283
59,0.000269549,0.000677821,0.000947434
60,0.000272196,0.000716209,0.000988473
61,0.000298046,0.00126394,0.00156215
62,0.000330888,0.00145094,0.00178198
63,0.000310072,0.00076177,0.00107192
64,0.000303472,0.000798767,0.0011023
65,0.000317075,0.000827907,0.00114505
66,0.00032289,0.000801836,0.0011248
67,0.000387128,0.000852885,0.00124008
68,0.000356311,0.000897833,0.00125421
69,0.000389767,0.00142377,0.00181368
70,0.000396001,0.00140084,0.00179701
71,0.000473174,0.00140128,0.00187475
72,0.000489786,0.00164409,0.00213398
73,0.000508417,0.00130054,0.00180919
74,0.000429056,0.00179822,0.00222746
75,0.000567765,0.00175385,0.0023218
76,0.000556508,0.00164166,0.00219839
77,0.000580905,0.00142407,0.00200517
78,0.000511916,0.00159681,0.00210888
79,0.000595809,0.00163243,0.00222833
80,0.000617803,0.0017422,0.0023601
81,0.000511132,0.00195355,0.00246485
82,0.000655022,0.00184579,0.00250091
83,0.000654419,0.00178461,0.00243913
84,0.000591948,0.00128219,0.00187431
85,0.000564056,0.0012775,0.00184162
86,0.000547432,0.00127642,0.00182391
87,0.000584563,0.00139531,0.00197994
88,0.000584104,0.00215188,0.00273617
89,0.000712574,0.00167078,0.00238349
90,0.000596589,0.0014445,0.00204122
91,0.000593501,0.00131874,0.00191231
92,0.000603776,0.00170195,0.00230588
93,0.000656522,0.00161544,0.00227203
94,0.000635523,0.00152829,0.00216388
95,0.000695674,0.00139889,0.00209473
96,0.000680084,0.00299139,0.00367162
97,0.000685883,0.00180479,0.00249074
98,0.000698161,0.0014964,0.0021947
99,0.000726968,0.00147622,0.00220325
100,0.000730735,0.00180688,0.0025378
101,0.000821148,0.00222091,0.0030422
102,0.000820953,0.00317817,0.00399928
103,0.000727147,0.00186138,0.00258869
104,0.00074128,0.00236678,0.0031082
105,0.000750563,0.00248231,0.00323309
106,0.000766811,0.00259368,0.00336071
107,0.000839392,0.00596481,0.0068044
108,0.00113789,0.00846341,0.00960149
109,0.00263664,0.00992235,0.0125593
110,0.00133926,0.00524232,0.00658189
111,0.00125333,0.00462761,0.0058812
112,0.00133421,0.00505092,0.00638533
113,0.00141694,0.00508851,0.00650565
114,0.0014242,0.00570055,0.00712495
115,0.00150042,0.00202025,0.00352083
116,0.00117006,0.00172131,0.00289211
117,0.000890623,0.00192195,0.00281273
118,0.00130266,0.00456249,0.00586533
119,0.00164661,0.00592989,0.00757673
120,0.00100079,0.00322274,0.00422408
121,0.000961249,0.00278818,0.00374978
122,0.00093214,0.00294619,0.0038784
123,0.000933535,0.00298111,0.00391481
124,0.000909674,0.00289495,0.0038047
125,0.000998968,0.00313496,0.00413408
126,0.000969456,0.00306676,0.00403627
127,0.00100836,0.00308389,0.00409242
128,0.000948567,0.00298587,0.00393514
129,0.00104408,0.00316588,0.00421012
130,0.0010405,0.00326393,0.0043046
131,0.00110557,0.00346852,0.00457425
132,0.00132545,0.00342861,0.00475483
133,0.00101329,0.00336952,0.00438287
134,0.00102477,0.00335198,0.0043769
135,0.00102283,0.00312121,0.00414411
136,0.00109298,0.00339449,0.00448763
137,0.00106794,0.00315512,0.00422325
138,0.001115,0.00348299,0.00459813
139,0.00110792,0.00330147,0.00440946
140,0.00112821,0.00349098,0.00461926
141,0.00134396,0.00359097,0.004935
142,0.00114627,0.00351676,0.00466311
143,0.00108936,0.00341559,0.00450508
144,0.00113292,0.00227604,0.00340904
145,0.00118365,0.00219133,0.00337505
146,0.00117484,0.00219005,0.00336496
147,0.00118308,0.00222914,0.00341229
148,0.00119025,0.00224305,0.00343345
149,0.00122258,0.0022153,0.00343795
150,0.00120858,0.00221505,0.0034237
151,0.00120326,0.00223874,0.00344208
152,0.00121722,0.00220049,0.00341779
153,0.00121276,0.0022536,0.00346642
154,0.0012313,0.00224172,0.00347309
155,0.00121242,0.00223824,0.0034508
156,0.00124251,0.00228031,0.00352291
157,0.00124695,0.00224293,0.00348995
158,0.00123455,0.00225767,0.00349237
159,0.00124387,0.00222992,0.00347386
160,0.00123651,0.00230094,0.00353758
161,0.00125796,0.0022719,0.00352993
162,0.00125265,0.00241442,0.00366715
163,0.001291,0.00362081,0.00491206
164,0.00133284,0.00258584,0.00391883
165,0.00141984,0.00240746,0.00382757
166,0.00128365,0.00239643,0.00368016
