Paramètres de la simulation
Taille du terrain,1 km
Nombre de cellules par direction,100
Vecteur vitesse du vent,0,0
Position initiale du foyer,10,10
Nombre de threads utilisés,4

TimeStep,Time_Avancement,T_Affichage,T_Total
1,0.00363462,0.00292688,0.00363493
2,0.000613512,0.000557259,0.00426435
3,0.000504751,0.000485159,0.00477705
4,0.00223059,0.00219843,0.00701361
5,0.00114166,0.00107981,0.00817169
6,0.000429165,0.000353163,0.00860779
7,0.00040104,0.000377391,0.00901253
8,0.000367364,0.000339741,0.00938305
9,0.000382975,0.000354432,0.00976874
10,0.000374355,0.000331914,0.0101455
11,0.00132515,0.000623702,0.0114733
12,0.000858625,0.000740897,0.012361
13,0.000591667,0.000515673,0.0129588
14,0.000540607,0.000469267,0.0135047
15,0.000592804,0.000516829,0.0141016
16,0.000533699,0.000445779,0.0146414
17,0.00120572,0.00110692,0.0158518
18,0.000719126,0.000617042,0.0165842
19,0.000586231,0.000497106,0.0171796
20,0.000492079,0.00040455,0.01768
21,0.000551815,0.000449723,0.0182367
22,0.00148888,0.00136506,0.019731
23,0.000651983,0.000492064,0.0203966
24,0.000868315,0.000756036,0.0212799
25,0.00108851,0.000931955,0.0223735
26,0.000590944,0.000432721,0.0229725
27,0.000650735,0.000509384,0.0236264
28,0.000563277,0.000419302,0.0241931
29,0.000575937,0.000430128,0.0247714
30,0.000579504,0.00042757,0.0253539
31,0.000575511,0.000422635,0.025932
32,0.000572441,0.000412614,0.0265068
33,0.000615765,0.000447611,0.0271254
34,0.00152994,0.00130116,0.028659
35,0.000778053,0.000587731,0.0294488
36,0.00087461,0.000678916,0.0303261
37,0.000650672,0.000466452,0.0309821
38,0.00065896,0.000451976,0.0316445
39,0.000727603,0.000513457,0.032374
40,0.000847634,0.000632176,0.033224
41,0.00751361,0.00728057,0.0407449
42,0.00146396,0.00124818,0.0422225
43,0.002814,0.00250056,0.0450477
44,0.00154525,0.00120581,0.0466673
45,0.0011363,0.000916249,0.0478141
46,0.000865976,0.000655964,0.0486862
47,0.000836828,0.00061367,0.0495257
48,0.00099021,0.000762919,0.0505187
49,0.00109205,0.000871124,0.0516144
50,0.000914385,0.00071016,0.0525351
51,0.000938741,0.000745167,0.0534777
52,0.000954699,0.000752811,0.0544364
53,0.00179885,0.00152886,0.0562408
54,0.00132494,0.00104977,0.0575835
55,0.00211645,0.00184581,0.0597114
56,0.00130461,0.00104461,0.0610269
57,0.00107645,0.000848222,0.0621126
58,0.00104111,0.000804432,0.0631587
59,0.00116366,0.000931206,0.0643255
60,0.000943636,0.000683451,0.0652772
61,0.000828934,0.000601293,0.0661114
62,0.00101675,0.000780172,0.0671309
63,0.00103634,0.000791266,0.0681711
64,0.00105151,0.000785484,0.0692264
65,0.00113412,0.000864184,0.0703634
66,0.00130285,0.00100228,0.0716697
67,0.00150611,0.00116621,0.0731833
68,0.00201875,0.0016481,0.0752109
69,0.00155387,0.00110937,0.0767791
70,0.00109938,0.00074463,0.077914
71,0.00161357,0.00125863,0.0795337
72,0.00108967,0.000764995,0.0806322
73,0.00123028,0.000915362,0.0818669
74,0.00133711,0.000895935,0.0832122
75,0.00121838,0.00083536,0.0844357
76,0.00117158,0.000841496,0.0856105
77,0.00198513,0.00159943,0.0875987
78,0.00209563,0.00158615,0.0897068
79,0.00209288,0.00149834,0.0918477
80,0.00129721,0.000834844,0.0931548
81,0.00124456,0.000767751,0.0944066
82,0.00144159,0.000953833,0.0958518
83,0.0012734,0.000873456,0.0971344
84,0.00115605,0.0007883,0.0982962
85,0.00133005,0.000809152,0.0996296
86,0.00136544,0.000805475,0.100998
87,0.00132529,0.000818266,0.102326
88,0.00160301,0.00108048,0.103933
89,0.00181975,0.00127284,0.105762
90,0.00261375,0.00199363,0.108385
91,0.00197064,0.00148225,0.110371
92,0.00198084,0.00153179,0.112361
93,0.00167342,0.00119157,0.114043
94,0.00165021,0.00115668,0.115703
95,0.00150157,0.0010565,0.117207
96,0.00155946,0.00109797,0.11877
97,0.00160273,0.00113038,0.120377
98,0.00283315,0.00230472,0.123216
99,0.00263428,0.00196776,0.125865
100,0.00214534,0.00164452,0.128023
101,0.00208662,0.00150372,0.130122
102,0.00154274,0.00101079,0.131681
103,0.00153541,0.0010438,0.133221
104,0.00158514,0.00108543,0.13481
105,0.0017224,0.00114092,0.136541
106,0.00214039,0.00150605,0.138695
107,0.00201788,0.00123515,0.140762
108,0.0017447,0.00117505,0.142516
109,0.00166948,0.00109986,0.144193
110,0.00168649,0.00103833,0.145901
111,0.00165498,0.00108552,0.147562
112,0.00172066,0.00113733,0.149287
113,0.00176795,0.0010454,0.151059
114,0.00202616,0.00132931,0.15309
115,0.00256199,0.00185737,0.155663
116,0.00197302,0.00120597,0.157647
117,0.00215752,0.00148762,0.159812
118,0.00308177,0.00223304,0.162906
119,0.00297059,0.00209796,0.165888
120,0.0031209,0.00224535,0.169016
121,0.0034974,0.00253229,0.172523
122,0.00328435,0.00219532,0.175829
123,0.00351386,0.00256615,0.179351
